source_file,source_location,assay_or_context,selection_regime,metric,value,units,time_or_passage,replicate_scope,confidence,notes
"Supplementary data- Materials and Methods.docx","Density-dependent selection / r-selection","Long-term low-density selection","r-selection","subculture interval","120","hours","almost 200 cell generations / 200 days","six replicates: three dsRed and three eGFP","high","Exact seeding and threshold densities were embedded objects in extracted text and are recorded as unavailable elsewhere."
"Supplementary data- Materials and Methods.docx","Density-dependent selection / K-selection","Long-term high-density selection","K-selection","subculture interval","72","hours","almost 130 cell generations / 200 days","six replicates: three dsRed and three eGFP","high","Exact seeding and threshold densities were embedded objects in extracted text and are recorded as unavailable elsewhere."
"Supplementary data- Materials and Methods.docx","Model fitting","Population growth model comparison","in vitro growth","logistic adjusted R2","0.856","adjusted R2","8-day MTT assay","not stated in extracted paragraph","high","Methods text states logistic fit was best among logistic, Gompertz, and exponential."
"Supplementary data- Materials and Methods.docx","Model fitting","Population growth model comparison","in vitro growth","Gompertz adjusted R2","0.828","adjusted R2","8-day MTT assay","not stated in extracted paragraph","high","Methods text reports the value."
"Supplementary data- Materials and Methods.docx","Model fitting","Population growth model comparison","in vitro growth","exponential adjusted R2","0.739","adjusted R2","8-day MTT assay","not stated in extracted paragraph","high","Methods text reports the value."
"Supplementary Figures and Tables revision_2nd.docx","Supplementary Figure 9 legend","Growth model fitting","in vitro growth","logistic R-squared","0.856","R-squared","8-day MTT assay","not stated in legend","high","Legend reports model fit with p=4.95e-05."
"Supplementary Figures and Tables revision_2nd.docx","Supplementary Figure 9 legend","Growth model fitting","in vitro growth","Gompertz R-squared","0.828","R-squared","8-day MTT assay","not stated in legend","high","Legend reports model fit with p=7.7e-05."
"Supplementary Figures and Tables revision_2nd.docx","Supplementary Figure 9 legend","Growth model fitting","in vitro growth","exponential R-squared","0.739","R-squared","8-day MTT assay","not stated in legend","high","Legend reports model fit with p=3.02e-05."
"Supplementary Figures and Tables revision_2nd.docx","Supplementary Figure 10 legend","Carrying capacity estimation","r cells","logistic density curve","228280/(1+83.485 exp(-0.80585 x))","cells per square centimeter function","days after seeding","not stated in legend","high","Legend gives fitted curve for r-cell density."
"Supplementary Figures and Tables revision_2nd.docx","Supplementary Figure 10 legend","Carrying capacity estimation","K cells","logistic density curve","239120/(1+728.8 exp(-1.0549 x))","cells per square centimeter function","days after seeding","not stated in legend","high","Legend gives fitted curve for K-cell density."
"Supplementary data- Materials and Methods.docx","Carrying capacity estimation of the spatial growth model","Density-dependent space model","spatial model","K:r carrying-capacity ratio","1.147","ratio","model parameterization","not applicable","high","Methods text states K-cell carrying capacity is 1.147 times r-cell carrying capacity in the DDS scaling."
